year,trifd,frsid,facility,address,city,county,state,zip,lat,long,transfer,release
2018,14206NGNRD55RBE,1.1002E+11,ENGINEERED COMPOSITES INC,55 ROBERTS AVE,BUFFALO,ERIE,NY,14206,42.869723,-78.81506,0,14467
2018,11901DCHMN1852O,1.1E+11,BERRY SPECIALTY TAPES LLC,1852 OLD COUNTRY RD,RIVERHEAD,SUFFOLK,NY,11901,40.926097,-72.709821,512,199
2018,12553WRXTR1096R,1.10007E+11,GLOBAL COS LLC CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.47502,-74.014206,0,0
2018,12602BMCRPSOUTH,1.1002E+11,IBM CORP,2455 S RD,POUGHKEEPSIE,DUTCHESS,NY,12601,41.65892,-73.9306,0,0.6
2018,13642ZCMNS408SY,1.10001E+11,ST LAWRENCE ZINC CO BALMAT 4 MINE & MILL,408 SYLVIA LAKE RD,GOUVERNEUR,ST LAWRENCE,NY,13642,44.265028,-75.408139,0,2773.1
2018,11768NRTHPWATER,1.10001E+11,NATIONAL GRID  NORTHPORT POWER STATION,WATERSIDE AVE & EATONS NECK RD,NORTHPORT,SUFFOLK,NY,11768,40.923488,-73.342561,0,0.04
2018,12553WRXTR1096R,1.10007E+11,GLOBAL COS LLC CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.47502,-74.014206,319.1,769.1
2018,13619SLCKC465SC,1.1E+11,SLACK CHEMICAL CO INC,465 S. CLINTON ST.,CARTHAGE,JEFFERSON,NY,13619,43.977222,-75.598056,0,809
2018,12090LYDLL12DAV,1.10002E+11,LYDALL PERFORMANCE MATERIALS (US) INC,12 DAVIS ST,HOOSICK FALLS,RENSSELAER,NY,12090,42.910222,-73.357972,0,75.2
2018,12553MBLLN1281R,1.1E+11,GLOBAL COS LLC NEWBURGH TERMINAL,1281 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.487139,-74.008528,0.17,563
2018,14727MPRCH4520H,1.10019E+11,EMPIRE CHEESE,4520 HASKELL RD,CUBA,ALLEGANY,NY,14727,42.197778,-78.275,0,66599
2018,11901TSCCR212SO,1.1E+11,UNITED RIVERHEAD TERMINAL INC,212 SOUND SHORE RD,RIVERHEAD,SUFFOLK,NY,11901,40.978917,-72.643111,1.69,225.54
2018,13904FRTLYCOLES,1.1E+11,FRITO - LAY INC,10 SPUD LN,KIRKWOOD,BROOME,NY,13795,42.09723,-75.83831,0,0
2018,11771MLLMX190PI,1.1E+11,MILL-MAX MANUFACTURING CORP,190 PINE HOLLOW RD,OYSTER BAY,NASSAU,NY,11771,40.86084,-73.5355,309805.53,0.4318
2018,14225DRRCK590DU,1.1E+11,DERRICK CORP,590 DUKE RD,CHEEKTOWAGA,ERIE,NY,14225,42.904,-78.75905,132281.33,20.33
2018,11742RCHRD607UN,1.1E+11,RICHARD M FLYNN POWER PLANT,607 UNION AVE,HOLTSVILLE,SUFFOLK,NY,11742,40.815848,-73.0641,0,22.2
2018,14094GNRLM200UP,1.1E+11,GM COMPONENTS HOLDINGS LLC,200 UPPER MOUNTAIN RD MANUFACTURING PLANT,LOCKPORT,NIAGARA,NY,14094,43.165966,-78.740509,250,0
2018,12158GNRLLNORYL,1.1E+11,SABIC INNOVATIVE PLASTICS US LLC,1 NORYL AVE,SELKIRK,ALBANY,NY,12158,42.575416,-73.853563,1709285.4,68505.4
2018,14733TRCKL310EE,1.10002E+11,TRUCK-LITE CO LLC,310 E ELMWOOD AVE,FALCONER,CHAUTAUQUA,NY,14733,42.12186,-79.1863,228,0.012
2018,10996SMNTXRT218,1.10001E+11,US DEPARTMENT OF THE TREASURY US MINT WEST POINT,1063 RT 218,WEST POINT,ORANGE,NY,10996,41.38681,-73.9975,67192,0
2018,12553MBLLN1281R,1.1E+11,GLOBAL COS LLC NEWBURGH TERMINAL,1281 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.487139,-74.008528,0,9
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,0
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,370.57
2018,14048RLSTN3800M,1.1E+11,NESTLE PURINA PETCARE CO,3800 MIDDLE RD,DUNKIRK,CHAUTAUQUA,NY,14048,42.49006,-79.308,0,0
2018,14304THGDY5408B,1.10019E+11,GOODYEAR TIRE & RUBBER CO,5500 GOODYEAR DR,NIAGARA FALLS,NIAGARA,NY,14304,43.08571,-79.00174,46388,7526
2018,13411GLDNR188BE,1.10007E+11,GOLDEN ARTIST COLORS INC,188 BELL RD,NEW BERLIN,CHENANGO,NY,13411,42.66427,-75.34525,21.59,21.5948
2018,14001WHTNG113CE,1.1E+11,WHITING DOOR MANUFACTURING CORP,113 CEDAR ST,AKRON,ERIE,NY,14001,43.02812,-78.50094,2615,28
2018,14302CRBRN1625B,1.1E+11,SAINT-GOBAIN ADVANCED CERAMICS -STRUCTURAL CERAMICS,22 ACHESON DR,NIAGARA FALLS,NIAGARA,NY,14303,43.07981,-79.04012,0,30
2018,12068KYMRKRTE33,1.10008E+11,KEYMARK CORP,1188 CAYADUTTA ST RT 334,FONDA,MONTGOMERY,NY,12068,42.956111,-74.389056,1152,1050
2018,14207MRCNB70SAY,1.10058E+11,AURUBIS BUFFALO INC,70 SAYRE ST,BUFFALO,ERIE,NY,14207,42.94765,-78.89284,1.63,78.63
2018,12553WRXTR1096R,1.10007E+11,GLOBAL COS LLC CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.47502,-74.014206,95.73,180.98
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,645.28
2018,13209CRCBLSTATE,1.1E+11,CRUCIBLE INDUSTRIES LLC,575 STATE FAIR BLVD,SOLVAY,ONONDAGA,NY,13209,43.085298,-76.223335,6657,1007
2018,12068KYMRKRTE33,1.10008E+11,KEYMARK CORP,1188 CAYADUTTA ST RT 334,FONDA,MONTGOMERY,NY,12068,42.956111,-74.389056,6412,5884
2018,12801MSLCT9PRUY,1.10021E+11,UMICORE ELECTRICAL MATERIALS USA INC,9 PRUYN'S ISLAND DR,GLENS FALLS,WARREN,NY,12801,43.29695,-73.64315,64345,0.03
2018,12920MCCDM23COL,1.1E+11,AGRI-MARK INC  MCCADAM PLANT,39 MCCADAM LN,CHATEAUGAY,FRANKLIN,NY,12920,44.923347,-74.078447,211974.3,23552.7
2018,13827HDCCRBODLE,1.1E+11,HADCO (SANMINA) CORP - OWEGO DIV,1200 TAYLOR RD,OWEGO,TIOGA,NY,13827,42.102778,-76.227111,29.04,26.000017
2018,13148GLDSP240FA,1.10012E+11,ITT GOULDS PUMPS INC,240 FALL ST,SENECA FALLS,SENECA,NY,13148,42.915399,-76.810796,24178,1729
2018,14710CHTQM4743C,1.1E+11,CHAUTAUQUA METAL FINISHING SUPPLY,4743 CRAMER DR,ASHVILLE,CHAUTAUQUA,NY,14710,42.0857,-79.36234,0,0
2018,14150GNRLM305SA,1.1E+11,3M CO - TONAWANDA,305 SAWYER AVE,TONAWANDA,ERIE,NY,14150,42.975756,-78.91827,420,18
2018,14021GRHMM20FLO,1.1E+11,GRAHAM CORP,20 FLORENCE AVE,BATAVIA,GENESEE,NY,14020,42.99163,-78.16832,212470,43
2018,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,40.80155,-73.90631,0,0
2018,14225DRRCK590DU,1.1E+11,DERRICK CORP,590 DUKE RD,CHEEKTOWAGA,ERIE,NY,14225,42.904,-78.75905,0,0
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,650.14
2018,14621MNRPL265HO,1.10064E+11,MCALPIN INDUSTRIES MONROE PLATING DIV,50 BALFOUR ST,ROCHESTER,MONROE,NY,14621,43.18245,-77.61829,1492,1492
2018,1366WNRWDM7971S,1.10031E+11,NORWOOD MIX PLANT,7971 STATE HIGHWAY 56,NORWOOD,ST LAWRENCE,NY,13668,44.783,-74.988,0,0.709678
2018,14086NTDSL4471W,1.1E+11,UNITED SILICONE INC,4471 WALDEN AVE,LANCASTER,ERIE,NY,14086,42.92777,-78.59773,0,339
2018,13201MLNFN1841L,1.1E+11,MELOON FOUNDREIS LLC,1841 LEMOYNE AVE,SYRACUSE,ONONDAGA,NY,13208,43.08767,-76.14561,749,609
2018,14611LNBRG620BU,1.1E+11,BODYCOTE THERMAL PROCESSING,620 BUFFALO RD,ROCHESTER,MONROE,NY,14611,43.14995,-77.66631,0,1269
2018,11706STRLC1714T,1.10017E+11,"ASTRO ELECTROPLATING,INC",171 4TH AVE,BAY SHORE,SUFFOLK,NY,11706,40.72507,-73.25199,0,0
2018,13753MRNNGNEWYO,1.10014E+11,SAPUTO DAIRY FOODS USA LLC,NEW YORK STATE RT 10,FRASER,DELAWARE,NY,13753,42.244667,-74.962167,0,14428
2018,12138TCNCPCOONB,1.10002E+11,TONOGA INC DBA TACONIC,136 COON BROOK RD,PETERSBURGH,RENSSELAER,NY,12138,42.74245,-73.35747,5407,1880.2
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,1060.28
2018,12866STWRTOUTER,1.10019E+11,STEWART'S,461 RT 9N,SARATOGA SPRINGS,SARATOGA,NY,12866,43.091583,-73.827778,42103,0
2018,14220NGRFB88KEL,1.1E+11,NIAGARA FIBERGLASS INC,88 OKELL ST,BUFFALO,ERIE,NY,14220,42.8381,-78.82975,0,248
2018,11716NBTYN105OR,1.10042E+11,THE NATURE'S BOUNTY CO,105 ORVILLE DR,BOHEMIA,SUFFOLK,NY,11716,40.77447,-73.1017,0,0
2018,10710LCTRN21GRA,1.10012E+11,ELECTRONIC DEVICES INC,21 GRAY OAKS AVE,YONKERS,WESTCHESTER,NY,10710,40.974657,-73.86794,0,250
2018,12015PCKHMFOOTO,1.10014E+11,PECKHAM MATERIALS CORP,FOOT OF UNION ST,ATHENS,GREENE,NY,12015,42.269,-73.805,0,0
2018,14094TWNLK520MI,1.1E+11,TWIN LAKE CHEMICAL INC,520 MILL ST,LOCKPORT,NIAGARA,NY,14094,43.184167,-78.699722,0,0
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,14760NDCKL140MO,1.10002E+11,INDECK-OLEAN ENERGY CENTER,140 MOORE AVE,OLEAN,CATTARAUGUS,NY,14760,42.0857,-78.4546,0,1670
2018,14225DRRCK590DU,1.1E+11,DERRICK CORP,590 DUKE RD,CHEEKTOWAGA,ERIE,NY,14225,42.904,-78.75905,0,0
2018,11742RCHRD607UN,1.1E+11,RICHARD M FLYNN POWER PLANT,607 UNION AVE,HOLTSVILLE,SUFFOLK,NY,11742,40.815848,-73.0641,0,15.3
2018,13904FRTLYCOLES,1.1E+11,FRITO - LAY INC,10 SPUD LN,KIRKWOOD,BROOME,NY,13795,42.09723,-75.83831,40592,0
2018,10009CNSLD801E1,1.1E+11,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,801 E 14 ST,MANHATTAN,NEW YORK,NY,10009,40.7278,-73.9733,0,0.07
2018,13601KNWLT213FA,1.1E+11,KNOWLTON TECHNOLOGIES LLC,213 FACTORY ST,WATERTOWN,JEFFERSON,NY,13601,43.97535,-75.90653,1362,508
2018,13753MRNNGNEWYO,1.10014E+11,SAPUTO DAIRY FOODS USA LLC,NEW YORK STATE RT 10,FRASER,DELAWARE,NY,13753,42.244667,-74.962167,0,0
2018,14207DPNTYSHERI,1.10008E+11,DUPONT YERKES PLANT,3115 RIVER RD,BUFFALO,ERIE,NY,14207,42.96227,-78.91914,1321.9,1371.27
2018,10962MTRLSRTE30,1.10001E+11,PRAXAIR ELECTRONICS,542 RT 303,ORANGEBURG,ROCKLAND,NY,10962,41.054556,-73.947028,361.379,27.149
2018,11742RCHRD607UN,1.1E+11,RICHARD M FLYNN POWER PLANT,607 UNION AVE,HOLTSVILLE,SUFFOLK,NY,11742,40.815848,-73.0641,0,8965.69
2018,1031WSCFRR333CH,1.1007E+11,USC - FERRARA BROTHERS LLC - CHELSEA ROAD,333 CHELSEA RD,STATEN ISLAND,RICHMOND,NY,10314,40.61051,-74.18866,0,1.4003
2018,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,40.80155,-73.90631,0,0
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,11768NRTHPWATER,1.10001E+11,NATIONAL GRID  NORTHPORT POWER STATION,WATERSIDE AVE & EATONS NECK RD,NORTHPORT,SUFFOLK,NY,11768,40.923488,-73.342561,0,101596
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,13057NRNMC6635K,1.10001E+11,ANAREN MICROWAVE INC,6635 KIRKVILLE RD,EAST SYRACUSE,ONONDAGA,NY,13057,43.07664,-76.06181,42.15,0.15
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,14825VLCRF5362R,1.10047E+11,VULCRAFT OF NEW YORK INC,621 MAIN STREET,CHEMUNG,CHEMUNG,NY,14825,42.00758,-76.61227,22,11152
2018,12553WRXTR1096R,1.10007E+11,GLOBAL COS LLC CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.47502,-74.014206,0,4.41
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,14207MRCNB70SAY,1.10058E+11,AURUBIS BUFFALO INC,70 SAYRE ST,BUFFALO,ERIE,NY,14207,42.94765,-78.89284,1353397,33307
